region,date,value
Ontario,0,1.2000000000000002
Ontario,1,3.3000000000000003
Ontario,2,4.9
Ontario,3,5.5
Ontario,4,6.75
Ontario,5,8.95
Ontario,6,11.95
Ontario,7,14.899999999999999
Ontario,8,16.099999999999998
Ontario,9,17.9
Ontario,10,20.549999999999997
Ontario,11,24.949999999999996
Ontario,12,32.199999999999996
Ontario,13,36.74999999999999
Ontario,14,41.3
Ontario,15,48.89999999999999
Ontario,16,64.04999999999998
Ontario,17,73.14999999999998
Ontario,18,113.14999999999998
Ontario,19,129.99999999999997
Ontario,20,141.39999999999998
Ontario,21,151.39999999999998
Ontario,22,164.84999999999997
Ontario,23,174.49999999999994
Ontario,24,184.24999999999994
Ontario,25,193.59999999999994
Ontario,26,177.29999999999995
Ontario,27,175.79999999999995
Ontario,28,180.34999999999994
Ontario,29,185.24999999999994
Ontario,30,188.94999999999993
Ontario,31,196.74999999999994
Ontario,32,195.54999999999993
Ontario,33,199.14999999999995
Ontario,34,202.49999999999994
Ontario,35,210.19999999999996
Ontario,36,212.29999999999995
Ontario,37,224.39999999999995
Ontario,38,224.29999999999995
Ontario,39,231.89999999999998
Ontario,40,234.65
Ontario,41,233.2
Ontario,42,223.29999999999998
Ontario,43,220.14999999999998
Ontario,44,216.39999999999998
Ontario,45,205.89999999999998
Ontario,46,204.49999999999997
Ontario,47,188.74999999999997
Ontario,48,187.6
Ontario,49,185.0
Ontario,50,175.9
