id,date,province,cumulative_recovered
360,2020-03-15,Ontario,5
364,2020-11-03,Ontario,5
368,2020-07-03,Ontario,4
372,2020-03-03,Ontario,3
376,2020-02-28,Ontario,3
380,2020-02-24,Ontario,3
384,2020-02-20,Ontario,2
388,2020-02-16,Ontario,1
392,2020-12-02,Ontario,1
396,2020-04-04,PEI,6
400,2020-03-31,PEI,1
404,2020-03-27,PEI,1
408,2020-03-23,PEI,0
412,2020-03-19,PEI,0
416,2020-03-15,PEI,0
420,2020-11-03,PEI,-1
424,2020-07-03,PEI,-1
428,2020-03-03,PEI,-1
432,2020-02-28,PEI,-1
436,2020-02-24,PEI,-1
440,2020-02-20,PEI,-1
444,2020-02-16,PEI,-1
448,2020-12-02,PEI,-1
452,2020-04-04,Quebec,437
456,2020-03-31,Quebec,84
460,2020-03-27,Quebec,29
464,2020-03-23,Quebec,1
468,2020-03-19,Quebec,1
472,2020-03-15,Quebec,0
476,2020-11-03,Quebec,0
480,2020-07-03,Quebec,0
484,2020-03-03,Quebec,0
488,2020-02-28,Quebec,0
492,2020-02-24,Quebec,-1
496,2020-02-20,Quebec,-1
500,2020-02-16,Quebec,-1
504,2020-12-02,Quebec,-1
508,2020-04-04,Saskatchewan,55
512,2020-03-31,Saskatchewan,21
516,2020-03-27,Saskatchewan,3
520,2020-03-23,Saskatchewan,0
524,2020-03-19,Saskatchewan,0
528,2020-03-15,Saskatchewan,0
532,2020-11-03,Saskatchewan,-1
536,2020-07-03,Saskatchewan,-1
540,2020-03-03,Saskatchewan,-1
544,2020-02-28,Saskatchewan,-1
548,2020-02-24,Saskatchewan,-1
552,2020-02-20,Saskatchewan,-1
556,2020-02-16,Saskatchewan,-1
560,2020-12-02,Saskatchewan,-1
564,2020-04-04,NWT,1
568,2020-03-31,NWT,0
572,2020-03-27,NWT,0
576,2020-03-23,NWT,0
580,2020-03-19,NWT,-1
584,2020-03-15,NWT,-1
588,2020-11-03,NWT,-1
592,2020-07-03,NWT,-1
596,2020-03-03,NWT,-1
600,2020-02-28,NWT,-1
604,2020-02-24,NWT,-1
608,2020-02-20,NWT,-1
612,2020-02-16,NWT,-1
616,2020-12-02,NWT,-1
620,2020-04-04,Nunavut,-1
624,2020-03-31,Nunavut,-1
628,2020-03-27,Nunavut,-1
632,2020-03-23,Nunavut,-1
636,2020-03-19,Nunavut,-1
640,2020-03-15,Nunavut,-1
644,2020-11-03,Nunavut,-1
648,2020-07-03,Nunavut,-1
652,2020-03-03,Nunavut,-1
656,2020-02-28,Nunavut,-1
660,2020-02-24,Nunavut,-1
664,2020-02-20,Nunavut,-1
668,2020-02-16,Nunavut,-1
672,2020-12-02,Nunavut,-1
676,2020-04-04,Yukon,4
680,2020-03-31,Yukon,0
684,2020-03-27,Yukon,0
688,2020-03-23,Yukon,0
692,2020-03-19,Yukon,-1
145,2020-06-03,Manitoba,-1
149,2020-02-03,Manitoba,-1
153,2020-02-27,Manitoba,-1
157,2020-02-23,Manitoba,-1
161,2020-02-19,Manitoba,-1
165,2020-02-15,Manitoba,-1
