id,date,country,recovered
295,2020-03-11,Italy,321
297,2020-03-11,Spain,151
299,2020-03-11,France,0
301,2020-03-12,Italy,0
303,2020-03-12,Spain,0
305,2020-03-12,France,0
307,2020-03-13,Italy,394
309,2020-03-13,Spain,10
311,2020-03-13,France,0
313,2020-03-14,Italy,527
315,2020-03-14,Spain,324
317,2020-03-14,France,0
319,2020-03-15,Italy,369
321,2020-03-15,Spain,0
340,2020-03-18,United Kingdom,14
342,2020-03-18,US,88
344,2020-03-19,"Korea, South",0
346,2020-03-19,United Kingdom,0
348,2020-03-19,US,16
350,2020-03-20,"Korea, South",0
352,2020-03-20,United Kingdom,0
354,2020-03-20,US,26
356,2020-03-21,"Korea, South",0
358,2020-03-21,United Kingdom,0
360,2020-03-21,US,29
362,2020-03-22,"Korea, South",1369
364,2020-03-22,United Kingdom,0
366,2020-03-22,US,2
368,2020-03-23,"Korea, South",0
413,2020-03-30,France,738
415,2020-03-31,Italy,1109
417,2020-03-31,Spain,2479
419,2020-03-31,France,1549
421,2020-04-01,Italy,1118
423,2020-04-01,Spain,3388
425,2020-04-01,France,1540
427,2020-04-02,Italy,1431
429,2020-04-02,Spain,4096
431,2020-04-02,France,1495
433,2020-04-03,Italy,1480
435,2020-04-03,Spain,3770
437,2020-04-03,France,1587
439,2020-04-04,Italy,1238
441,2020-04-04,Spain,3706
443,2020-04-04,France,1437
445,2020-04-05,Italy,819
447,2020-04-05,Spain,3861
449,2020-04-05,France,777
451,2020-04-06,Italy,1022
453,2020-04-06,Spain,2357
455,2020-04-06,France,1079
457,2020-04-07,Italy,1555
135,2020-02-13,Spain,0
137,2020-02-13,France,0
139,2020-02-14,Italy,0
141,2020-02-14,Spain,0
143,2020-02-14,France,0
145,2020-02-15,Italy,0
147,2020-02-15,Spain,2
149,2020-02-15,France,2
151,2020-02-16,Italy,0
153,2020-02-16,Spain,0
155,2020-02-16,France,0
157,2020-02-17,Italy,0
159,2020-02-17,Spain,0
161,2020-02-17,France,0
163,2020-02-18,Italy,0
165,2020-02-18,Spain,0
167,2020-02-18,France,0
169,2020-02-19,Italy,0
171,2020-02-19,Spain,0
173,2020-02-19,France,0
175,2020-02-20,Italy,0
177,2020-02-20,Spain,0
179,2020-02-20,France,0
181,2020-02-21,Italy,0
183,2020-02-21,Spain,0
185,2020-02-21,France,0
187,2020-02-22,Italy,1
212,2020-02-26,"Korea, South",0
214,2020-02-26,United Kingdom,0
216,2020-02-26,US,0
218,2020-02-27,"Korea, South",0
220,2020-02-27,United Kingdom,0
222,2020-02-27,US,0
224,2020-02-28,"Korea, South",0
226,2020-02-28,United Kingdom,0
228,2020-02-28,US,1
230,2020-02-29,"Korea, South",5
232,2020-02-29,United Kingdom,0
234,2020-02-29,US,0
271,2020-03-07,Italy,66
273,2020-03-07,Spain,28
275,2020-03-07,France,0
277,2020-03-08,Italy,33
279,2020-03-08,Spain,0
281,2020-03-08,France,0
283,2020-03-09,Italy,102
320,2020-03-15,"Korea, South",0
322,2020-03-15,United Kingdom,0
324,2020-03-15,US,0
326,2020-03-16,"Korea, South",627
328,2020-03-16,United Kingdom,2
330,2020-03-16,US,5
332,2020-03-17,"Korea, South",270
334,2020-03-17,United Kingdom,32
336,2020-03-17,US,0
338,2020-03-18,"Korea, South",133
383,2020-03-25,France,657
385,2020-03-26,Italy,999
387,2020-03-26,Spain,1648
389,2020-03-26,France,1048
391,2020-03-27,Italy,589
393,2020-03-27,Spain,2342
395,2020-03-27,France,752
397,2020-03-28,Italy,1434
399,2020-03-28,Spain,2928
401,2020-03-28,France,17
403,2020-03-29,Italy,646
405,2020-03-29,Spain,2424
407,2020-03-29,France,1502
409,2020-03-30,Italy,1590
411,2020-03-30,Spain,2071
460,2020-04-07,United Kingdom,38
462,2020-04-07,US,2182
164,2020-02-18,"Korea, South",2
166,2020-02-18,United Kingdom,0
168,2020-02-18,US,0
170,2020-02-19,"Korea, South",0
172,2020-02-19,United Kingdom,0
174,2020-02-19,US,0
176,2020-02-20,"Korea, South",4
178,2020-02-20,United Kingdom,0
180,2020-02-20,US,0
182,2020-02-21,"Korea, South",0
184,2020-02-21,United Kingdom,0
186,2020-02-21,US,2
188,2020-02-22,"Korea, South",0
190,2020-02-22,United Kingdom,0
192,2020-02-22,US,0
194,2020-02-23,"Korea, South",2
196,2020-02-23,United Kingdom,0
198,2020-02-23,US,0
200,2020-02-24,"Korea, South",0
202,2020-02-24,United Kingdom,0
204,2020-02-24,US,0
206,2020-02-25,"Korea, South",4
208,2020-02-25,United Kingdom,0
210,2020-02-25,US,1
211,2020-02-26,Italy,2
213,2020-02-26,Spain,0
215,2020-02-26,France,0
217,2020-02-27,Italy,42
219,2020-02-27,Spain,0
221,2020-02-27,France,0
223,2020-02-28,Italy,1
225,2020-02-28,Spain,0
227,2020-02-28,France,0
229,2020-02-29,Italy,0
231,2020-02-29,Spain,0
233,2020-02-29,France,1
235,2020-03-01,Italy,37
237,2020-03-01,Spain,0
239,2020-03-01,France,0
241,2020-03-02,Italy,66
243,2020-03-02,Spain,0
245,2020-03-02,France,0
247,2020-03-03,Italy,11
249,2020-03-03,Spain,0
251,2020-03-03,France,0
253,2020-03-04,Italy,116
255,2020-03-04,Spain,0
257,2020-03-04,France,0
259,2020-03-05,Italy,138
261,2020-03-05,Spain,0
263,2020-03-05,France,0
265,2020-03-06,Italy,109
267,2020-03-06,Spain,0
268,2020-03-06,United Kingdom,0
269,2020-03-06,France,0
270,2020-03-06,US,0
272,2020-03-07,"Korea, South",0
274,2020-03-07,United Kingdom,10
276,2020-03-07,US,0
278,2020-03-08,"Korea, South",-17
280,2020-03-08,United Kingdom,0
282,2020-03-08,US,0
284,2020-03-09,"Korea, South",0
286,2020-03-09,United Kingdom,0
288,2020-03-09,US,0
290,2020-03-10,"Korea, South",129
292,2020-03-10,United Kingdom,1
294,2020-03-10,US,1
296,2020-03-11,"Korea, South",41
298,2020-03-11,United Kingdom,0
300,2020-03-11,US,0
