id,date,icu_level,region,lhin,critical_care_beds,critical_care_patients,vented_beds,vented_patients,suspected_covid,suspected_covid_ventilator,confirmed_positive,confirmed_positive_ventilator,confirmed_negative
88,2020-03-29,Level 2, North,13. NE,44,26,7,0,6,0.0,0,0,0.0
89,2020-03-29,Level 2, North,14. NW,8,2,3,0,0,0.0,0,0,0.0
90,2020-03-30,, West,1. ESC,87,75,73,28,32,12.0,8,5,1.0
91,2020-03-30,, West,2. SW,187,152,98,25,25,8.0,9,4,14.0
92,2020-03-30,, West,3. WW,98,73,58,31,22,10.0,10,9,10.0
93,2020-03-30,, West,4. HNHB,271,205,172,45,29,9.0,11,4,27.0
94,2020-03-30,, Central,5. CW,68,44,26,23,11,7.0,5,2,3.0
95,2020-03-30,, Central,6. MH,130,121,116,49,30,16.0,11,7,1.0
96,2020-03-29,Level 2, West,1. ESC,14,8,2,0,4,0.0,0,0,0.0
97,2020-03-29,Level 2, West,2. SW,82,71,2,0,8,0.0,1,0,3.0
98,2020-03-29,Level 2, West,3. WW,34,19,0,0,0,0.0,0,0,4.0
99,2020-03-29,Level 2, West,4. HNHB,112,94,21,8,5,2.0,0,0,17.0
100,2020-03-30,, Central,8. Central,153,130,130,85,33,25.0,20,19,7.0
101,2020-03-30,, Central,12. NSM,48,29,26,8,9,3.0,1,1,6.0
102,2020-03-30,, Toronto,7. TC,373,276,266,80,51,21.0,21,10,33.0
103,2020-03-30,, East,9. CE,163,137,109,79,40,27.0,21,16,5.0
104,2020-03-30,, East,10. SE,103,91,57,29,15,9.0,3,2,2.0
105,2020-03-30,, East,11. Champlain,199,150,119,22,38,6.0,5,3,11.0
106,2020-03-30,, North,13. NE,102,60,53,11,15,4.0,0,0,0.0
107,2020-03-30,, North,14. NW,30,16,16,7,3,2.0,0,0,0.0
108,2020-04-01,, West,1. ESC,87,63,73,23,27,14.0,10,3,2.0
109,2020-04-01,, West,2. SW,187,144,98,38,24,8.0,14,9,13.0
110,2020-04-01,, West,3. WW,98,82,58,23,14,4.0,14,10,24.0
111,2020-04-01,, West,4. HNHB,271,204,172,33,27,6.0,13,3,26.0
